"time","first_hit","first","second_hit","second","third","fourth","over"
1024,0,0,6,18321300,824400,13300,122143275
1023,2,58344500,3,35006400,409100,9100,0
1022,2,128119200,6,19595300,638400,12000,0
1021,0,0,1,113040300,766300,14600,125601483
1020,3,133486700,6,22404500,618000,11200,0
1019,0,0,4,30280400,487700,9600,251095228
1018,0,0,4,26215400,619800,9600,116514121
1017,3,103756100,8,17004700,759200,14200,0
1016,0,0,1,127248600,1139500,16800,160113420
1015,1,400000000,2,67680500,510700,9700,18724752
1014,0,0,2,62646500,779000,11300,268322168
1013,0,0,3,38731600,1327900,16200,129106482
1012,1,108211900,14,6956400,323700,6200,0
1011,1,129960800,4,29240900,816000,14400,0
1010,2,196662400,11,9999400,255300,5600,0
1009,0,0,4,33118900,1282000,16800,271108458
1008,0,0,3,37173200,727300,12000,123911966
1007,1,113492400,5,20428400,351200,7600,0
1006,1,124749700,3,37424500,489900,10400,0
1005,1,111149300,5,20006700,449500,8000,0
1004,1,108151300,7,13905000,476700,8600,0
1003,2,136053200,6,21185800,584400,10400,0
1002,0,0,11,10121900,421400,7900,130866503
1001,1,400000000,5,24985100,585500,9400,7153015
1000,0,0,8,16056900,508700,9800,268345233
999,0,0,5,22610600,553700,10400,125615901
998,2,120240500,6,19795000,401400,7700,0
997,1,400000000,16,7763100,399600,7200,108513197
996,0,0,10,12282100,508200,9100,370501171
995,1,400000000,18,7496200,446000,8500,234031537
994,0,0,5,27679100,943600,14700,484104446
992,0,0,7,12311000,323100,5600,95753342
991,3,35920900,2,48492800,333400,8500,0
990,4,26701800,8,12015700,335300,7100,0
989,1,246688200,6,19836500,840100,12700,0
988,0,0,7,14713900,549300,9800,114443128
987,4,27898400,32,3138500,340400,7400,0
986,2,56736900,4,25531400,537500,10400,0
985,4,60289500,6,18820800,366200,7600,0
984,0,0,5,20823000,433800,8000,115684719
983,1,271689400,6,21520500,856000,13800,0
982,0,0,3,38465000,814500,13300,128218058
981,1,120197200,5,21635300,389800,8000,0
980,3,75206100,6,22026100,660700,10400,0
979,1,400000000,13,9727000,359500,6700,78776205
978,1,400000000,8,20054800,659300,11200,338273733
977,0,0,6,25241100,776600,13100,560007047
976,0,0,8,16874200,568300,10500,391731490
975,0,0,9,12306900,424600,8000,241737086
974,0,0,5,21359800,678000,12700,118666833
973,2,49737200,13,6886600,217400,5300,0
972,1,117796500,13,8155000,691400,11100,0
971,4,25715300,18,5143000,302600,6100,0
970,2,55926200,6,16777700,419400,7200,0
969,1,113134300,13,7832300,515500,9200,0
968,1,110911400,9,11091000,460700,8300,0
967,1,123100400,4,27697300,942800,13600,0
966,1,133072000,1,119763800,1072500,16600,0
965,2,126654500,6,20170800,362100,8900,0
964,0,0,3,35650400,994800,14400,118835741
963,2,64350000,10,11582900,812800,12900,0
962,4,29602900,7,15224200,395900,7500,0
961,1,115013400,7,14787300,360000,6700,0
960,2,61430200,11,10052100,391400,8700,0
959,1,135036000,7,17361600,668900,12000,0
958,2,59353800,6,17805900,545500,10000,0
957,3,86595800,5,25897300,506100,10200,0
956,0,0,4,26079900,458500,8100,115912032
955,1,267084300,4,32106900,653000,10700,0
954,0,0,3,37315300,633600,10800,124385476
953,4,30379200,5,21872800,397600,9100,0
952,2,143126900,13,9839700,462300,9100,0
951,0,0,3,37349300,465200,9300,144123227
950,1,400000000,9,15288100,548500,9600,19624312
949,0,0,7,18622600,759300,12200,266741384
948,0,0,7,15672300,541700,10300,121896967
947,2,61398000,5,22103000,650000,10100,0
946,4,29998800,8,13499300,506200,8300,0
945,2,59488300,3,35692600,484800,8100,0
944,1,129554500,5,23319600,508700,10200,0
943,3,87917000,6,22107500,686000,11900,0
942,0,0,9,11636500,302800,6300,116366306
941,1,121390700,8,13656300,520200,9100,0
940,1,272046600,4,34383000,859500,15300,0
939,0,0,8,13413400,383200,8400,119231853
938,3,40465900,14,7804000,427000,8000,0
937,3,89474500,12,10703500,558400,10200,0
936,0,0,7,16162200,491800,9800,125707844
935,2,58012000,28,3729300,244200,7300,0
934,1,125978000,11,10307200,670200,10200,0
933,2,62693000,6,18807700,366900,8500,0
932,1,276721400,3,45557900,942500,14700,0
931,0,0,3,37457700,588800,10700,124860306
930,1,137750200,12,10331100,826400,13900,0
929,5,43471100,10,13225400,572900,9500,0
928,1,400000000,5,31265300,852600,14200,70404713
927,0,0,6,24430000,596200,14000,296706788
926,0,0,3,40151000,835500,13800,133838035
925,3,97251100,6,23145800,805000,12500,0
924,0,0,4,30925200,970200,14800,137446611
923,2,68159800,6,20447700,827100,12400,0
922,2,342422300,7,20772900,543500,10200,0
921,1,400000000,6,28136100,623300,10800,523276110
920,0,0,10,16202200,742000,12200,735700073
919,0,0,43,3238800,485800,9300,555673063
918,0,0,0,0,814100,13200,400925200
917,0,0,12,9120500,472400,10000,121608804
916,1,115937100,13,8026300,324300,7300,0
915,4,100782800,3,47549200,596400,10500,0
914,0,0,0,0,842700,14400,244632508
913,2,60952200,6,18285500,783600,13300,0
912,2,64620500,8,14539500,811500,12800,0
911,1,118690300,20,5341000,370400,7500,0
910,1,109769800,5,19758400,345600,6400,0
909,1,121772100,7,15656200,521800,9300,0
908,1,119933000,3,35979500,436100,8000,0
907,5,49352900,12,9398700,347900,7600,0
906,0,0,13,8407800,478600,9100,121447115
905,2,131284900,5,25917100,582400,12100,0
904,0,0,9,11858300,476000,8200,118584306
903,1,113300900,19,5366800,275500,5800,0
902,1,269162200,13,10368900,745400,12500,0
901,0,0,25,4297800,304000,7100,119387020
900,2,63211900,8,14222500,612200,9800,0
899,1,115363100,7,14832200,415300,7900,0
898,4,31560700,6,18936200,244700,7900,0
897,3,89071400,12,10542800,353800,7200,0
896,0,0,1,113976600,460500,9000,126641809
895,6,19453800,14,7503500,178800,5200,0
894,2,229891000,5,30996800,499900,9800,0
893,0,0,15,8852200,522400,8500,287576167
892,0,0,4,31507900,1065000,17600,140036758
891,2,213055100,7,22258300,1027300,13800,0
890,0,0,7,16806600,415200,8000,252988536
889,0,0,5,22008100,691300,12000,122268699
888,1,122981400,2,55341100,795300,12100,0
887,1,114992600,7,14784600,539900,8700,0
886,1,120138400,14,7723100,500900,9100,0
885,1,269046500,7,19183700,861700,13400,0
884,0,0,17,6344300,387400,8200,119838550
883,1,118297900,8,13308300,605500,10400,0
882,1,262268600,5,26228900,560000,9200,0
881,0,0,12,8741200,345800,7000,116551216
880,2,140523000,5,25601700,411800,7700,0
879,0,0,3,41643400,1078500,15700,138812697
878,1,290609800,3,45669000,572800,9900,0
877,0,0,9,13837700,561800,11200,138378499
876,1,128626000,6,19293700,553400,8600,0
875,2,129788300,13,9319800,265300,5700,0
874,0,0,14,8032700,497900,8600,124955572
873,1,136319400,9,13631800,841200,12600,0
872,1,117975100,12,8848000,390800,7200,0
871,3,38178300,16,6442500,292400,6500,0
870,1,129034400,4,29032400,561900,9700,0
869,7,89021500,8,19709700,333100,6900,0
868,0,0,9,17432300,579200,11100,447951484
867,0,0,19,6870700,329100,7500,273626115
866,0,0,3,38572500,697700,10600,128576326
865,6,16727400,18,5018200,158700,3800,0
